APPROACH3_A1_C2_Act1_6_URBAN_MC_AFTN_b42dd6ca-07b6-11e0-beb7-e80688cb869a,R,person,yes,no,2,bicycle,yes,yes,1
APPROACH4_A1_C2_Act2_8_PARK_MR_AFTN_DARK_b42e1391-07b6-11e0-944b-e80688cb869a,R,person,yes,no,2,skateboard,yes,yes,1
APPROACH6_A1_C1_Act5_6_URBAN_ML_AFTN_b42e39a8-07b6-11e0-b565-e80688cb869a,R,person,yes,no,2,motorcycle,yes,yes,1
APPROACH7_A1_C1_Act2_URBAN_BR_AFTN_DARK_b42e5f82-07b6-11e0-a6df-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C1_Act2_URBAN_MC_AFTN_DARK_b42e6626-07b6-11e0-b415-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C1_Act6_PARK_BL_AFTN_DARK_b42e6d0f-07b6-11e0-ad72-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C1_Act6_PARK_MC_AFTN_DARK_b42e73a8-07b6-11e0-a4b4-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C2_Act2_URBAN_BR_AFTN_DARK_b42e7aa8-07b6-11e0-b1b0-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C2_Act2_URBAN_MC_AFTN_DARK_b42e81b0-07b6-11e0-a5ee-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C2_Act6_PARK_BR_AFTN_DARK_b42e88f3-07b6-11e0-8d5a-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
APPROACH7_A1_C2_Act6_PARK_MC_AFTN_DARK_b42e8f8f-07b6-11e0-a848-e80688cb869a,R,person,yes,no,1,small-ball,yes,no,1
Approach9_A1_C1_Act1_5_URBAN_FC_MORN_b42e92de-07b6-11e0-af6f-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
Approach9_A1_C1_Act1_5_URBAN_FC_MORN_DARK_b42e9633-07b6-11e0-b996-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C1_Act6_PARK_BL_AFTN_b42e9ad7-07b6-11e0-941c-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C1_Act6_PARK_BL_AFTN_DARK_b42e9e5c-07b6-11e0-a7fb-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C1_Act6_PARK_MC_AFTN_b42ea1c0-07b6-11e0-8123-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C1_Act6_PARK_MC_AFTN_DARK_b42ea526-07b6-11e0-a862-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C1_Act6_URBAN_MR_AFTN_b42ea8a3-07b6-11e0-9bfa-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C1_Act6_URBAN_MR_AFTN_DARK_b42eacb3-07b6-11e0-bded-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
Approach9_A1_C2_Act5_2_URBAN_MR_AFTN_b42eb021-07b6-11e0-93f2-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
Approach9_A1_C2_Act5_2_URBAN_MR_AFTN_DARK_b42eb387-07b6-11e0-b3b1-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C2_Act6_URBAN_MC_AFTN_b42eb6ee-07b6-11e0-a3ba-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C2_Act6_URBAN_MC_AFTN_DARK_b42eba4a-07b6-11e0-bf32-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C2_Act8_1_PARK_MC_AFTN_b42ebdae-07b6-11e0-ba00-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C2_Act8_1_PARK_MC_AFTN_DARK_b42ec121-07b6-11e0-89cb-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C2_Act8_1_PARK_ML_AFTN_b42ec499-07b6-11e0-98f8-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
APPROACH9_A1_C2_Act8_1_PARK_ML_AFTN_DARK_b42ec7eb-07b6-11e0-84fe-e80688cb869a,R,person,yes,no,1,motorcycle,yes,yes,1,truck,yes,no,1
ARRIVE1_A1_C2_Act6_PARK_BC_AFTN_b42ef64a-07b6-11e0-b656-e80688cb869a,R,person,yes,no,1
ARRIVE2_A1_C1_Act6_URBAN_BL_AFTN_DARK_b42f153a-07b6-11e0-a21c-e80688cb869a,R,person,yes,no,1,bicycle,yes,yes,1
Arrive4_A1_C1_Act1_2_URBAN_MC_MORN_DARK_b42f76a3-07b6-11e0-b3b0-e80688cb869a,R,person,yes,no,1,truck,yes,no,1
Arrive4_A1_C1_Act1_2_URBAN_ML_MORN_DARK_b42f7d70-07b6-11e0-9dd9-e80688cb869a,R,person,yes,no,1,truck,yes,no,1
ARRIVE4_A1_C1_Act6_PARK_MC_AFTN_DARK_b42f840c-07b6-11e0-a83c-e80688cb869a,R,person,yes,no,0,car,yes,no,1
ARRIVE4_A1_C1_Act6_PARK_ML_AFTN_DARK_b42f8ab0-07b6-11e0-9796-e80688cb869a,R,person,yes,no,0,car,yes*,no,1
ARRIVE4_A1_C2_Act6_PARK_BL_AFTN_DARK_b42f915c-07b6-11e0-888e-e80688cb869a,R,person,yes,no,0,car,yes,no,1
